# ============================================================================
# MIRROR — DO NOT EDIT HERE. Canonical source:
#   databallr_v3/lib/draft-picks/seed/draft-picks.csv
# Synced: 2026-07-06  (281 pick rows, all 30 teams; post-draft curation, 2026 rows conveyed+removed).
# databallr is canonical; refresh by re-copying. pick_ownership.py re-validates
# on load, so a stale/corrupt mirror fails loudly instead of silently.
# ============================================================================
# Draft picks seed — the source of truth for the Contract Outlook draft-capital annotation.
# Manually maintained: add ONLY verified pick ownership. Do not invent picks.
# `bun run seed:draft-picks` validates every row and replaces the draft_picks table.
#
# Team codes may be entered in RealGM notation and are canonicalized at seed time.
# RealGM diverges from standard NBA codes for five teams:
#   BRK→BKN, GOS→GSW, PHL→PHI, SAN→SAS, UTH→UTA  (all other 25 codes match).
# Basketball-Reference codes CHO→CHA and PHO→PHX are also accepted (plausible paste source).
#
# Columns:
#   team        ORIGINATING team (3-letter UPPER) — its record sets the pick value.
#   owner_team  CONTROLLING team (3-letter UPPER) — whose Contract Outlook card it shows on.
#   year        draft year (2025-2035; 2025 already conveyed and is ignored on render).
#   round       1 or 2.
#   protections free-text; must match a canonical key (unprotected | top-1 protected |
#               top-3 protected | top-4 protected | top-5 protected | top-10 protected |
#               lottery protected) or it is stored verbatim and priced at the 0.70 default.
#               Blank = unprotected (stored as NULL).
#               PROTECTION CONVENTION (semantic, not uniform-format): a first-round
#               keep-if-top-N construct ("1-N Own; rest conveys") -> "top-N protected"
#               (e.g. "1-2 Own" -> top-2 protected, like PHL's top-8). top-2/top-8 aren't in
#               the canonical table yet, so they price at 0.70 + a parser warning until added.
#               A second-round RANGE construct ("31-55 Own") stays VERBATIM — it isn't top-N
#               semantics and must not pretend to be.
#   swap        true/false.
#   via_team    routing team (3-letter UPPER) or blank.
#
# Lines starting with '#' and blank lines are ignored.
# Swap convention: for swap rows (swap=true), owner_team is the team HOLDING
# the swap right; team is whose pick may be taken. via_team stays blank.
team,owner_team,year,round,protections,swap,via_team
LAL,MEM,2027,1,top-4 protected,false,UTH
BRK,HOU,2027,1,,true,
DEN,BRK,2032,1,,false,
# ─── Batch 1: Central division (DET CLE IND MIL CHI) — raw: raw/batch-1-central.md ───
DET,DET,2027,1,,false,
DET,DET,2027,2,,false,
DET,DET,2028,1,,false,
DET,DET,2029,1,,false,
DET,DET,2030,1,,false,
DET,DET,2030,2,,false,
MIN,DET,2030,2,,false,
DET,DET,2031,1,,false,
DET,DET,2031,2,,false,
DAL,DET,2031,2,,false,PHL
DET,DET,2032,1,,false,
DET,DET,2032,2,,false,
CLE,UTH,2028,2,,false,
CLE,ATL,2029,2,,false,
CLE,CLE,2030,1,,false,
CLE,SAN,2030,2,,false,
CLE,CLE,2031,1,,false,
CLE,CLE,2032,1,,false,
CLE,UTH,2032,2,,false,
UTH,IND,2027,2,,false,CLE
IND,IND,2027,1,,false,
IND,IND,2028,1,,false,
IND,LAC,2029,1,,false,
IND,IND,2030,1,,false,
IND,IND,2030,2,,false,
IND,IND,2031,1,,false,
IND,IND,2032,1,,false,
IND,IND,2032,2,,false,
MIL,DET,2027,2,,false,PHL
MIL,PHL,2028,2,,false,
MIL,ORL,2030,2,,false,
MIL,MIL,2030,1,,false,
MIL,MIL,2031,1,,false,
MIL,CHA,2031,2,,false,
MIL,MIL,2032,1,,false,
MIL,CHA,2032,2,,false,
CHI,CHI,2027,1,,false,
CHI,DAL,2027,2,,false,
CLE,CHI,2027,2,,false,
CHI,CHI,2028,1,,false,
CHI,CHI,2028,2,,false,
CHI,CHI,2029,1,,false,
CHI,CHI,2030,1,,false,
CHI,CHI,2030,2,,false,
CHI,CHI,2031,1,,false,
DEN,CHI,2031,2,,false,
NYK,CHI,2031,2,,false,CHA
CHI,CHI,2032,1,,false,
CHI,CHI,2032,2,,false,
# ─── Batch 2: Atlantic division (BOS NYK PHL BRK) — raw: raw/batch-2-atlantic.md ───
BOS,BOS,2027,1,,false,
